Rank,basename,Genre,ESRB_Rating,Platform,Publisher,Developer,Critic_Score,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales
928,borderlands,Shooter,M,PS3,2K Games,Gearbox Software,8.2,1.83,1.22,0.61,0.0,0.29
929,mortal-kombat-2011,Fighting,M,X360,Warner Bros. Interactive Entertainment,NetherRealm Studios,8.6,1.95,1.64,0.31,0.0,0.17
930,project-gotham-racing,Racing,E,XB,Microsoft,Bizarre Creations,8.4,2.03,1.37,0.61,0.05,0.09
932,nba-2k11,Sports,E,X360,2K Sports,Visual Concepts,8.8,1.99,1.86,0.12,0.01,0.13
933,tony-hawks-pro-skater,Sports,E,N64,Activision,Edge of Reality,9.3,2.08,1.68,0.4,0.0,0.03
934,pes-2009-pro-evolution-soccer,Sports,E,PS3,Konami,Konami,7.7,1.85,0.11,1.34,0.4,0.26
935,need-for-speed-hot-pursuit-2,Racing,E,PS2,Electronic Arts,EA Seattle,8.7,2.01,1.68,0.31,0.02,0.09
938,arms,Fighting,E10,NS,Nintendo,Nintendo EPD,7.9,0.0,0.0,0.0,0.0,0.0
939,killzone-shadow-fall,Shooter,M,PS4,Sony Computer Entertainment,Guerrilla Games,9.0,0.0,0.0,0.0,0.0,0.0
940,kirby-nightmare-in-dream-land,Platform,E,GBA,Nintendo,HAL Laboratory,8.1,0.0,0.0,0.0,0.0,0.0
941,onimusha-2-samurais-destiny,Adventure,M,PS2,Capcom,Capcom,8.5,0.0,0.0,0.0,0.0,0.0
943,need-for-speed-most-wanted-5-1-0,Racing,E10,PSP,Electronic Arts,EA Black Box,7.4,1.92,1.77,0.13,0.02,0.17
949,grand-theft-auto-episodes-from-liberty-city,Adventure,M,PS3,Rockstar Games,Rockstar North,9.0,1.7399999999999998,0.62,0.99,0.13,0.34
952,sim-theme-park,Strategy,E,PC,Electronic Arts,Bullfrog Productions,8.1,2.08,2.04,0.04,0.0,0.0
953,rock-band,Misc,T,Wii,MTV Games,Harmonix Music Systems,8.2,1.8900000000000001,1.33,0.56,0.0,0.2
954,portal-2,Shooter,E10,X360,Valve,Valve Software,9.6,1.91,1.41,0.49,0.01,0.17
955,donkey-kong-country-tropical-freeze,Platform,E,NS,Nintendo,Retro Studios,9.1,0.0,0.0,0.0,0.0,0.0
956,mario-party-7,Misc,E,GC,Nintendo,Hudson Soft,6.0,0.0,0.0,0.0,0.0,0.0
959,metal-gear-solid-peace-walker,Action,T,PSP,Konami,Kojima Productions,8.6,1.8399999999999999,0.46,0.42,0.96,0.25
962,the-sims-2-pets,Simulation,E,DS,Electronic Arts,Maxis,4.8,1.85,0.92,0.93,0.0,0.22
964,ufc-2009-undisputed,Fighting,T,X360,THQ,Yuke's Osaka,8.4,1.87,1.48,0.39,0.0,0.19
967,professor-layton-and-the-last-specter,Adventure,E10,DS,Nintendo,Level 5,8.4,0.0,0.0,0.0,0.0,0.0
968,the-incredibles,Action,E,GBA,THQ,Helixe,5.4,1.96,1.15,0.77,0.04,0.1
969,call-of-duty-2,Shooter,T,X360,Activision,Infinity Ward,8.8,1.8900000000000001,1.84,0.04,0.01,0.16
972,r4-ridge-racer-type-4,Racing,E,PS,Namco,Namco,9.1,1.9300000000000002,0.68,0.46,0.79,0.13
973,tom-clancys-splinter-cell-conviction,Action,M,X360,Ubisoft,Ubisoft Montreal,8.6,1.8599999999999999,1.2,0.62,0.04,0.19
